; BALFIT Input File for 3x3 Tunnel Calibration
; I am a fish
; I am a shoe
;; DATA ORIGIN = 3x3 Tunnel

; header variables
FILE_TYPE,DATA_FOR_ITERATIVE_REGRESSION_ANALYSIS
BALANCE_NAME,StudentTunnel
DESCRIPTION,Data2017

; load and gage output symbols
,,,,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF

; load and gage output units
,,,,lbs,lbs,lbs,lbs,in-lbs,lbs,microV/V,microV/V,microV/V,microV/V,microV/V,microV/V

; load capacities
,,,,200,200,200,200,60,50
; zero load-off averages
;,point id,series,orientation,,,,,,,rN1,rN2,rS1,rS2,rRM,rAF
,NZ-0001,A,0,,,,,,,-0.7618208918688,-1.0256539979434,0.4342961316017999,-0.7083612159456,0.03656548071,-0.8572480751104
,NZ-0002,A,90,,,,,,,-0.7435058899122,-1.0111030129051501,0.41571798087494993,-0.7226537286162,0.0344494179612,-0.852369100344
,NZ-0003,A,270,,,,,,,-0.7440937419645001,-1.01085054590385,0.4542989528083499,-0.6938698331046,0.036631218793949996,-0.85770180876
,NZ-0004,A,180,,,,,,,-0.7641230761548,-1.02546880005336,0.43368100261667986,-0.7098224404968001,0.03620488181904,-0.85762998710016
; data for analysis (series 1 = load series number and series 2 = natural zero series number)
;,point id,series 1,series 2,N1(indep.),N2(indep.),S1(indep.),S2(indep.),RM(indep.),AF(indep.),rN1(dep.),rN2(dep.),rS1(dep.),rS2(dep.),rRM(dep.),rAF(dep.)
,P-0001,1,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7057524114543463,-0.993317185095,-0.7242416783715,0.4664433582073847,1.2453885342398077,1.5545294723446155
,P-0002,1,A,0.0,0.0,0.0,0.0,0.0,10.60371322657855,-0.7221396342000002,-0.989732218634,-0.7117033141495789,0.45446259956,2.736058236370105,3.10806400896
,P-0003,1,A,0.0,0.0,0.0,0.0,0.0,19.19167341375986,-0.7334447137623872,-0.9882328239820646,-0.7024441401447096,0.44606060775948386,3.9470894349799357,4.367408415731613
,P-0004,1,A,0.0,0.0,0.0,0.0,0.0,30.643176659890553,-0.7458093941157143,-0.988034927595619,-0.690188716064095,0.43447647428533337,5.579195975166,6.0592004267093325
,P-0005,1,A,0.0,0.0,0.0,0.0,0.0,20.860218498583453,-0.7334869091970639,-0.9894130141506383,-0.7008587239082553,0.44456285599455325,4.190882176656767,4.619448811918979
,P-0006,1,A,0.0,0.0,0.0,0.0,0.0,10.444743071196875,-0.7198209287131765,-0.9910800964455883,-0.7116331129394118,0.4544602713416471,2.729168092861941,3.0990245911567063
,P-0007,1,A,0.0,0.0,0.0,0.0,0.0,-0.013914065820254225,-0.7053683284206488,-0.993038736961946,-0.724368897389027,0.466577385865946,1.256334429395189,1.5648666938153513
,P-0008,2,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7346465650033953,-0.9605772968631627,-0.7209651333227441,0.43159434662176743,1.179208924344,1.5046664596465116
,P-0009,2,A,23.399537502148156,0.0,0.0,0.0,0.0,0.0,-1.63881141076692,-0.9098366643804,-0.72981723320688,0.48125061239183997,1.01292108115176,1.6906966241011199
,P-0010,2,A,48.014023229291915,0.0,0.0,0.0,0.0,0.0,-2.5694483754688475,-0.8518695983575933,-0.7399002533215931,0.5428387802306441,0.9164493984572541,1.9683367435118646
,P-0011,2,A,100.6043703908072,0.0,0.0,0.0,0.0,0.0,-4.532171589005511,-0.6260438904146939,-0.7679919832482855,0.6633061506034286,0.9227632945834287,2.7754562188800005
,P-0012,2,A,50.450765234756396,0.0,0.0,0.0,0.0,0.0,-2.6830135664476,-0.8294795347321334,-0.7430949908945333,0.5527552815445335,0.9290828509775998,2.0422617926784
,P-0013,2,A,24.240916210167242,0.0,0.0,0.0,0.0,0.0,-1.678180449451846,-0.9069810296908848,-0.7321463407109999,0.49037981033815375,1.0272743124853847,1.7373604520455381
,P-0014,2,A,-0.031062744526966224,0.0,0.0,0.0,0.0,0.0,-0.7391477154143721,-0.9594106237392559,-0.7233178037951162,0.43448151416483727,1.177984518084,1.5161184975181397
,P-0015,3,A,0.0,0.0,0.0,0.0,0.0,0.0,-0.7119009993989304,-1.015801967340279,-0.7229013152200465,0.46644280254139536,1.1976008103179998,1.5113556712632559
,P-0016,3,A,0.0,24.287417973107715,0.0,0.0,0.0,0.0,-0.7175114394062927,-1.9057905453073172,-0.6725422954056586,0.46724884122321947,1.3657846954780974,1.6790418303828292
,P-0017,3,A,0.0,48.27157007355632,0.0,0.0,0.0,0.0,-0.7193852183815083,-2.785320222285738,-0.6347613726058032,0.4692396074470821,1.553724878241836,1.8669030383779672
,P-0018,3,A,0.0,101.31323817509208,0.0,0.0,0.0,0.0,-0.702487627303,-4.7618080323255,-0.5824927295936666,0.4753817837606667,2.0379989212935,2.3547351092053335
,P-0019,3,A,0.0,51.959124333435476,0.0,0.0,0.0,0.0,-0.7190967929365162,-2.9278165153424514,-0.639707770652516,0.46947990066038703,1.5911890232614836,1.909844077263484
